Date,Close,Volume,Year,Month,Close_Lag1,Volume_Lag1,Close_Change,Volume_Change,Cluster
2008-01-03,10920,19346500,2008,1,10880.0,18047200.0,40.0,1299300.0,0
2008-01-04,10780,17997350,2008,1,10920.0,19346500.0,-140.0,-1349150.0,0
2008-01-07,10380,39787200,2008,1,10780.0,17997350.0,-400.0,21789850.0,1
2008-01-08,10320,24783700,2008,1,10380.0,39787200.0,-60.0,-15003500.0,0
2008-01-09,10500,23865450,2008,1,10320.0,24783700.0,180.0,-918250.0,1
2008-01-10,10320,31551350,2008,1,10500.0,23865450.0,-180.0,7685900.0,1
2008-01-11,10320,23425150,2008,1,10320.0,31551350.0,0.0,-8126200.0,0
2008-01-14,10500,22167000,2008,1,10320.0,23425150.0,180.0,-1258150.0,0
2008-01-15,10640,40283950,2008,1,10500.0,22167000.0,140.0,18116950.0,1
2008-01-16,10600,49448100,2008,1,10640.0,40283950.0,-40.0,9164150.0,1
2008-01-17,11200,42213900,2008,1,10600.0,49448100.0,600.0,-7234200.0,1
2008-01-18,11340,35586400,2008,1,11200.0,42213900.0,140.0,-6627500.0,1
2008-01-21,11280,25085050,2008,1,11340.0,35586400.0,-60.0,-10501350.0,0
2008-01-22,10720,43213650,2008,1,11280.0,25085050.0,-560.0,18128600.0,1
2008-01-23,10800,36303850,2008,1,10720.0,43213650.0,80.0,-6909800.0,1
2008-01-24,11120,27902000,2008,1,10800.0,36303850.0,320.0,-8401850.0,0
2008-01-25,11220,26107500,2008,1,11120.0,27902000.0,100.0,-1794500.0,1
2008-01-28,10780,27213200,2008,1,11220.0,26107500.0,-440.0,1105700.0,1
2008-01-29,11160,21471250,2008,1,10780.0,27213200.0,380.0,-5741950.0,0
2008-01-30,11420,35769400,2008,1,11160.0,21471250.0,260.0,14298150.0,1
2008-01-31,11900,46767100,2008,1,11420.0,35769400.0,480.0,10997700.0,1
2008-02-01,11720,28352100,2008,2,11900.0,46767100.0,-180.0,-18415000.0,0
2008-02-04,12240,46921550,2008,2,11720.0,28352100.0,520.0,18569450.0,1
2008-02-05,12260,23207550,2008,2,12240.0,46921550.0,20.0,-23714000.0,0
2008-02-11,11680,28841250,2008,2,12260.0,23207550.0,-580.0,5633700.0,1
2008-02-12,11460,18513050,2008,2,11680.0,28841250.0,-220.0,-10328200.0,0
2008-02-13,11480,21558700,2008,2,11460.0,18513050.0,20.0,3045650.0,1
2008-02-14,11860,28837050,2008,2,11480.0,21558700.0,380.0,7278350.0,1
2008-02-15,11720,20001000,2008,2,11860.0,28837050.0,-140.0,-8836050.0,0
2008-02-18,11540,18412450,2008,2,11720.0,20001000.0,-180.0,-1588550.0,0
2008-02-19,11740,16641000,2008,2,11540.0,18412450.0,200.0,-1771450.0,0
2008-02-20,11560,18171450,2008,2,11740.0,16641000.0,-180.0,1530450.0,0
2008-02-21,11880,21269600,2008,2,11560.0,18171450.0,320.0,3098150.0,1
2008-02-22,11640,15574600,2008,2,11880.0,21269600.0,-240.0,-5695000.0,0
2008-02-25,11620,15236300,2008,2,11640.0,15574600.0,-20.0,-338300.0,0
2008-02-26,11420,12393550,2008,2,11620.0,15236300.0,-200.0,-2842750.0,0
2008-02-27,11560,13882800,2008,2,11420.0,12393550.0,140.0,1489250.0,0
2008-02-28,11600,14536100,2008,2,11560.0,13882800.0,40.0,653300.0,0
2008-02-29,11200,22988800,2008,2,11600.0,14536100.0,-400.0,8452700.0,1
2008-03-03,10980,22136800,2008,3,11200.0,22988800.0,-220.0,-852000.0,0
2008-03-04,11040,16975550,2008,3,10980.0,22136800.0,60.0,-5161250.0,0
2008-03-05,11240,21097000,2008,3,11040.0,16975550.0,200.0,4121450.0,1
2008-03-06,11240,18850600,2008,3,11240.0,21097000.0,0.0,-2246400.0,0
2008-03-07,11000,20272750,2008,3,11240.0,18850600.0,-240.0,1422150.0,0
2008-03-10,11080,17898000,2008,3,11000.0,20272750.0,80.0,-2374750.0,0
